ఆఫ్రికా	Africa
జపాన్	Japan
దక్షిణ అమెరికా	South America
నార్వే	Norway
ఇంగ్లాండు	England
స్కాట్లాండ్	Scotland
వేల్స్	Wales
రిపబ్లిక్ ఆఫ్ ఐర్లాండ్	Republic of Ireland
హంగేరి	Hungary
స్పెయిన్	Spain
అమెరికా సంయుక్త రాష్ట్రాలు	United States
బెల్జియం	Belgium
విశ్వం	Universe
భూమి	Earth
జీవం	Life
మరణం	Death
మానవుడు	Human
సంతోషం	Happiness
జార్జి వాషింగ్టన్	George Washington
టిమ్ బెర్నర్స్ లీ	Tim Berners-Lee
ఫిన్‌లాండ్	Finland
స్వీడన్	Sweden
డెన్మార్క్	Denmark
పోలాండ్	Poland
లిథువేనియా	Lithuania
ఇటలీ	Italy
స్విట్జర్లాండ్	Switzerland
ఆస్ట్రియా	Austria
గ్రీస్	Greece
టర్కీ	Turkey
బీరు	Beer
పోర్చుగల్	Portugal
ఐరోపా	Europe
ఆసియా	Asia
ఉత్తర అమెరికా	North America
అంటార్కిటికా	Antarctica
వికీపీడియా	Wikipedia
నెదర్లాండ్స్	Netherlands
శిశ్నము	Penis
పిహెచ్‌పి(PHP)	PHP
న్యూయార్క్	New York City
వాషింగ్టన్, డి.సి.	Washington, D.C.
శాన్ ఫ్రాన్సిస్కో	San Francisco
బెర్లిన్	Berlin
లాస్ ఏంజలెస్	Los Angeles
ఎయిర్‌బస్	Airbus
కంప్యూటర్	Computer
ఇంటర్నెట్	Internet
బరాక్ ఒబామా	Barack Obama
కంప్యూటర్ ప్రింటర్	Printer (computing)
మీడియావికీ	MediaWiki
లండన్	London
కైరో	Cairo
తలనొప్పి	Headache
అలెగ్జాండ్రియా	Alexandria
ఆపిల్	Apple
పారిస్	Paris
అబ్రహం లింకన్	Abraham Lincoln
ఆండ్రాయిడ్	Android (operating system)
గూగుల్	Google
మెక్సికో	Mexico
అట్లాంటిక్ మహాసముద్రం	Atlantic Ocean
పసిఫిక్ మహాసముద్రం	Pacific Ocean
కాలిఫోర్నియా	California
బోస్టన్	Boston
సోమవారము	Monday
అంతరిక్షం	Space
జనవరి	January
ఫిబ్రవరి	February
మార్చి	March
అంగారకుడు	Mars
కెన్యా	Kenya
ఇథియోపియా	Ethiopia
ఘనా	Ghana
ఏప్రిల్	April
మే	May
జూన్	June
జూలై	July
ఆగష్టు	August
సెప్టెంబర్	September
అక్టోబర్	October
నవంబర్	November
డిసెంబర్	December
మంగళవారము	Tuesday
బుధవారము	Wednesday
గురువారము	Thursday
శుక్రవారము	Friday
శనివారము	Saturday
ఆదివారము	Sunday
సింహం	Lion
ఫ్రాన్స్	France
కుక్క	Dog
యునైటెడ్ కింగ్‌డమ్	United Kingdom
పిల్లి	Cat
చైనా	China
ఫ్రెంచి భాష	French language
చేప	Fish
బ్రెజిల్	Brazil
ఆల్కహాలు	Alcohol
రష్యా	Russia
ఆప్టికల్ ఫైబర్	Optical fiber
సముద్రం	Sea
నల్ల సముద్రం	Black Sea
పై	Pi
వికీ	Wiki
టొరంటో	Toronto
అలబామా	Alabama
బోయింగ్ 747	Boeing 747
వికీమీడియా ఫౌండేషన్	Wikimedia Foundation
